Ensembl	Gene	DNARegion
ENSG00000174194	AGAP8	10:51224681-51371321
ENSG00000174197	MGA	15:41913422-42062141
ENSG00000174206	C12orf66	12:64580096-64616076
ENSG00000174225	ARL13A	X:100224697-100245818
ENSG00000174226	SNX31	8:101585116-101675643
ENSG00000174227	PIGG	4:492989-533985
ENSG00000174231	PRPF8	17:1553923-1588176
ENSG00000174233	ADCY6	12:49159975-49182820
ENSG00000174236	REP15	12:27849428-27850566
ENSG00000174238	PITPNA	17:1421012-1466110
ENSG00000174243	DDX23	12:49223547-49246625
ENSG00000174255	ZNF80	3:113953483-113956425
ENSG00000174276	ZNHIT2	11:64883875-64885170
ENSG00000174282	ZBTB4	17:7362685-7387582
ENSG00000174292	TNK1	17:7283853-7293093
ENSG00000174306	ZHX3	20:39807088-39946312
ENSG00000174307	PHLDA3	1:201434620-201438365
ENSG00000174326	SLC16A11	17:6944949-6947242
ENSG00000174327	SLC16A13	17:6939394-6943440
ENSG00000174332	GLIS1	1:53971910-54199877
ENSG00000174343	CHRNA9	4:40337346-40357234
ENSG00000174348	PODN	1:53527854-53551174
ENSG00000174353	STAG3L3	7:72440227-72476445
ENSG00000174365	SNHG11	20:37075221-37079564
ENSG00000174370	C11orf45	11:128769460-128775930
ENSG00000174371	EXO1	1:242011269-242058450
ENSG00000174373	RALGAPA1	14:36007558-36278510
ENSG00000174374	WBSCR16	7:74441226-74490064
ENSG00000174403	C20orf166-AS1	20:61141550-61148733
ENSG00000174405	LIG4	13:108859787-108870716
ENSG00000174417	TRHR	8:110098850-110131813
ENSG00000174428	GTF2IRD2B	7:74508364-74565623
ENSG00000174429	ABRA	8:107771711-107782473
ENSG00000174437	ATP2A2	12:110718561-110788898
ENSG00000174442	ZWILCH	15:66797297-66842115
ENSG00000174444	RPL4	15:66790355-66816870
ENSG00000174446	SNAPC5	15:66782473-66790151
ENSG00000174448	STARD6	18:51850728-51884334
ENSG00000174450	GOLGA6L2	15:23684645-23692381
ENSG00000174453	VWC2L	2:215275789-215443683
ENSG00000174456	C12orf76	12:110465872-110511491
ENSG00000174460	ZCCHC12	X:117957753-117960931
ENSG00000174473	GALNTL6	4:172733405-173962710
ENSG00000174483	BBS1	11:66278077-66301098
ENSG00000174485	DENND4A	15:65950384-66084631
ENSG00000174495	AC005017.2	7:28318830-28319319
ENSG00000174498	IGDCC3	15:65619465-65670378
ENSG00000174500	GCSAM	3:111839688-111852152
ENSG00000174501	ANKRD36C	2:96514587-96657541
ENSG00000174502	SLC26A9	1:205882176-205912588
ENSG00000174514	MFSD4	1:205538013-205572046
ENSG00000174516	PELI3	11:66234216-66244808
ENSG00000174521	TTC9B	19:40721965-40724306
ENSG00000174527	MYO1H	12:109785708-109893328
ENSG00000174529	TMEM81	1:205052258-205053645
ENSG00000174547	MRPL11	11:66202546-66234209
ENSG00000174562	KLK15	19:51328545-51340469
ENSG00000174564	IL20RB	3:136665072-136729927
ENSG00000174572	RP11-209A2.1	6:27179023-27179692
ENSG00000174574	AKIRIN1	1:39456895-39471731
ENSG00000174576	NPAS4	11:66188475-66194178
ENSG00000174579	MSL2	3:135867764-135916083
ENSG00000174586	ZNF497	19:58865723-58874214
ENSG00000174600	CMKLR1	12:108681821-108733118
ENSG00000174606	ANGEL2	1:213165524-213189168
ENSG00000174607	UGT8	4:115519611-115599380
ENSG00000174611	KY	3:134321980-134370478
ENSG00000174628	IQCK	16:19727778-19868907
ENSG00000174652	ZNF266	19:9523272-9546254
ENSG00000174669	SLC29A2	11:66129992-66139685
ENSG00000174672	BRSK2	11:1411129-1483919
ENSG00000174680	GRIK1-AS1	21:31120494-31136321
ENSG00000174684	B3GNT1	11:66112843-66115163
ENSG00000174695	TMEM167A	5:82348665-82373682
ENSG00000174697	LEP	7:127881337-127897681
ENSG00000174705	SH3PXD2B	5:171752185-171881527
ENSG00000174715	RP11-79L9.2	3:138362716-138363536
ENSG00000174718	KIAA1551	12:32112304-32146039
ENSG00000174720	LARP7	4:113558120-113578748
ENSG00000174721	FGFBP3	10:93666346-93669240
ENSG00000174738	NR1D2	3:23986751-24022109
ENSG00000174744	BRMS1	11:66104804-66112596
ENSG00000174748	RPL15	3:23958036-23965183
ENSG00000174749	C4orf32	4:113066553-113116412
ENSG00000174775	HRAS	11:532242-537287
ENSG00000174776	WDR49	3:167196472-167371771
ENSG00000174780	SRP72	4:57333081-57369839
ENSG00000174788	PCP2	19:7696497-7698634
ENSG00000174791	RIN1	11:66097713-66104311
ENSG00000174792	C4orf26	4:76481258-76491095
ENSG00000174796	THAP6	4:76439156-76475683
ENSG00000174799	CEP135	4:56815037-56899529
ENSG00000174804	FZD4	11:86656721-86666433
ENSG00000174807	CD248	11:66081958-66084515
ENSG00000174808	BTC	4:75669969-75719896
ENSG00000174827	PDZK1	1:145726918-145764074
ENSG00000174837	EMR1	19:6887577-6940470
ENSG00000174839	DENND6A	3:57611184-57678816
ENSG00000174840	PDE12	3:57542003-57552571
ENSG00000174842	GLMN	1:92711959-92764544
ENSG00000174844	DNAH12	3:57327727-57530071
ENSG00000174851	YIF1A	11:66052051-66056641
ENSG00000174871	CNIH2	11:66045661-66052772
ENSG00000174876	AMY1B	1:104230037-104239302
ENSG00000174885	NLRP6	11:278365-285359
ENSG00000174886	NDUFA11	19:5891287-5904017
ENSG00000174891	RSRC1	3:157823644-158263519
ENSG00000174898	CATSPERD	19:5720688-5778745
ENSG00000174899	C3orf55	3:157261035-157395538
ENSG00000174903	RAB1B	11:66036004-66044963
ENSG00000174912	METTL15P1	3:156431673-156432717
ENSG00000174915	PTDSS2	11:448268-491393
ENSG00000174917	C19orf70	19:5678432-5680907
ENSG00000174928	C3orf33	3:155480401-155524140
ENSG00000174938	SEZ6L2	16:29882480-29910868
ENSG00000174939	ASPHD1	16:29911696-29931185
ENSG00000174943	KCTD13	16:29916333-29938356
ENSG00000174944	P2RY14	3:150929905-150996255
ENSG00000174945	AMZ1	7:2719156-2815134
ENSG00000174946	GPR171	3:150915619-150920988
ENSG00000174948	GPR149	3:154055461-154147504
ENSG00000174950	CD164L2	1:27705666-27709870
ENSG00000174951	FUT1	19:49251268-49258647
ENSG00000174953	DHX36	3:153990335-154042286
ENSG00000174977	AC026271.5	17:18553508-18554855
ENSG00000174989	FBXW8	12:117348761-117468953
ENSG00000174990	CA5A	16:87921625-87970135
ENSG00000174992	ZG16	16:29789561-29793096
ENSG00000174996	KLC2	11:66024765-66035331
ENSG00000175003	SLC22A1	6:160542821-160579750
ENSG00000175029	CTBP2	10:126676421-126849739
ENSG00000175040	CHST2	3:142838173-142841800
ENSG00000175048	ZDHHC14	6:157802165-158099178
ENSG00000175054	ATR	3:142168077-142297668
ENSG00000175061	FAM211A-AS1	17:16342136-16381992
ENSG00000175063	UBE2C	20:44441215-44445596
ENSG00000175066	GK5	3:141882414-141944449
ENSG00000175073	VCPIP1	8:67540722-67579452
ENSG00000175077	RTP1	3:186915274-186919253
ENSG00000175084	DES	2:220283099-220291461
ENSG00000175087	PDIK1L	1:26437664-26452034
ENSG00000175097	RAG2	11:36597124-36619829
ENSG00000175104	TRAF6	11:36508577-36531822
ENSG00000175105	ZNF654	3:88188254-88193815
ENSG00000175106	TVP23C	17:15341205-15466909
ENSG00000175110	MRPS22	3:138724648-139076065
ENSG00000175115	PACS1	11:65837834-66012218
ENSG00000175130	MARCKSL1	1:32799433-32801980
ENSG00000175137	SH3BP5L	1:249104648-249120832
ENSG00000175147	TMEM51-AS1	1:15442448-15478960
ENSG00000175155	YPEL2	17:57409050-57479090
ENSG00000175164	ABO	9:136125788-136150617
ENSG00000175166	PSMD2	3:184016497-184026842
ENSG00000175170	FAM182B	20:25744102-25848861
ENSG00000175175	PPM1E	17:56833230-57058983
ENSG00000175182	FAM131A	3:184053714-184064063
ENSG00000175183	CSRP2	12:77252495-77272840
ENSG00000175189	INHBC	12:57828543-57844611
ENSG00000175193	PARL	3:183547173-183602721
ENSG00000175197	DDIT3	12:57910371-57914300
ENSG00000175198	PCCA	13:100741269-101182686
ENSG00000175203	DCTN2	12:57923885-57941114
ENSG00000175206	NPPA	1:11905766-11908402
ENSG00000175213	ZNF408	11:46722368-46727462
ENSG00000175215	CTDSP2	12:58213710-58240522
ENSG00000175216	CKAP5	11:46764598-46867847
ENSG00000175220	ARHGAP1	11:46698630-46722165
ENSG00000175221	MED16	19:867962-893218
ENSG00000175224	ATG13	11:46638826-46696368
ENSG00000175229	GAL3ST3	11:65809423-65816651
ENSG00000175262	C1orf127	1:11006528-11042094
ENSG00000175265	GOLGA8A	15:34671269-34880704
ENSG00000175267	VWA3A	16:22103859-22168287
ENSG00000175274	TP53I11	11:44907454-44972840
ENSG00000175279	APITD1	1:10490159-10512210
ENSG00000175283	DOLK	9:131707809-131709898
ENSG00000175287	PHYHD1	9:131683174-131704320
ENSG00000175302	ANKRD30BP1	21:14756570-14800094
ENSG00000175305	CCNE2	8:95891998-95908906
ENSG00000175309	PHYKPL	5:177635498-177659792
ENSG00000175311	ANKS4B	16:21244986-21263750
ENSG00000175315	CST6	11:65779312-65780976
ENSG00000175318	GRAMD2	15:72452148-72490126
ENSG00000175322	ZNF519	18:14057456-14132489
ENSG00000175324	LSM1	8:38020839-38034248
ENSG00000175325	PROP1	5:177419236-177423243
ENSG00000175334	BANF1	11:65769550-65771620
ENSG00000175336	APOF	12:56754353-56756607
ENSG00000175344	CHRNA7	15:32322691-32464722
ENSG00000175348	TMEM9B	11:8968841-8986558
ENSG00000175352	NRIP3	11:9002123-9025596
ENSG00000175354	PTPN2	18:12785477-12929642
ENSG00000175356	SCUBE2	11:9041071-9159661
ENSG00000175376	EIF1AD	11:65764016-65769647
ENSG00000175387	SMAD2	18:45357922-45457515
ENSG00000175390	EIF3F	11:7991798-8023409
ENSG00000175393	OR10A6	11:7949180-7950209
ENSG00000175395	ZNF25	10:38238500-38265561
ENSG00000175414	ARL10	5:175792471-175828866
ENSG00000175416	CLTB	5:175819456-175843570
ENSG00000175426	PCSK1	5:95726119-95769847
ENSG00000175445	LPL	8:19759228-19824769
ENSG00000175449	RFESD	5:94982458-95020477
ENSG00000175455	CCDC14	3:123616152-123680564
ENSG00000175463	TBC1D10C	11:67171386-67177560
ENSG00000175467	SART1	11:65729160-65747299
ENSG00000175470	PPP2R2D	10:133747955-133773331
ENSG00000175471	MCTP1	5:94039446-94620279
ENSG00000175482	POLD4	11:67118248-67124443
ENSG00000175485	OR52W1	11:6220376-6221489
ENSG00000175489	LRRC25	19:18501954-18508427
ENSG00000175505	CLCF1	11:67131639-67141648
ENSG00000175509	RP11-395L14.13	2:114425055-114426198
ENSG00000175513	TSGA10IP	11:65712916-65727434
ENSG00000175514	GPR152	11:67218772-67220200
ENSG00000175518	UBQLNL	11:5535623-5537935
ENSG00000175520	UBQLN3	11:5528530-5531215
ENSG00000175536	LIPT2	11:74202757-74204778
ENSG00000175538	KCNE3	11:74165886-74178774
ENSG00000175544	CABP4	11:67219877-67226699
ENSG00000175548	ALG10B	12:38710380-38717784
ENSG00000175550	DRAP1	11:65686728-65689032
ENSG00000175556	LONRF3	X:118108581-118152318
ENSG00000175564	UCP3	11:73711326-73720480
ENSG00000175567	UCP2	11:73685712-73694352
ENSG00000175573	C11orf68	11:65684279-65686588
ENSG00000175575	PAAF1	11:73587744-73638790
ENSG00000175581	MRPL48	11:73498361-73576178
ENSG00000175582	RAB6A	11:73386683-73472182
ENSG00000175591	P2RY2	11:72929343-72947397
ENSG00000175592	FOSL1	11:65659520-65668044
ENSG00000175595	ERCC4	16:14014014-14046202
ENSG00000175600	SUGCT	7:40174575-40900362
ENSG00000175602	CCDC85B	11:65657875-65659105
ENSG00000175604	RP11-276H1.3	16:12180603-12184159
ENSG00000175606	TMEM70	8:74884672-74895018
ENSG00000175611	LINC00476	9:98521513-98638259
ENSG00000175634	RPS6KB2	11:67195931-67202872
ENSG00000175643	RMI2	16:11343476-11445619
ENSG00000175646	PRM1	16:11374693-11375207
ENSG00000175662	TOM1L2	17:17746828-17875736
ENSG00000175676	GOLGA8EP	15:23435096-23448420
ENSG00000175691	ZNF77	19:2933216-2944969
ENSG00000175697	GPR156	3:119883492-120003941
ENSG00000175699	LINC00521	14:94463616-94478040
ENSG00000175701	LINC00116	2:110969106-111002997
ENSG00000175707	C1orf172	1:27276053-27286897
ENSG00000175711	B3GNTL1	17:80900031-81009686
ENSG00000175727	MLXIP	12:122516628-122631894
ENSG00000175728	C11orf44	11:130542851-130587247
ENSG00000175730	BAK1P1	20:31276723-31278816
ENSG00000175741	RWDD4P2	7:39894093-39894655
ENSG00000175745	NR2F1	5:92919043-92930321
ENSG00000175746	C15orf54	15:39542885-39547046
ENSG00000175749	EIF3KP1	5:102368080-102368735
ENSG00000175756	AURKAIP1	1:1309110-1310875
ENSG00000175764	TTLL11	9:124584207-124855885
ENSG00000175766	EIF4E1B	5:176057683-176073642
ENSG00000175768	TOMM5	9:37582643-37592639
ENSG00000175773	RP11-121M22.1	11:130184888-130263688
ENSG00000175779	C15orf53	15:38988799-38992239
ENSG00000175782	SLC35E3	12:69139886-69187508
ENSG00000175785	PRIMA1	14:94184644-94254827
ENSG00000175787	ZNF169	9:97021593-97063736
ENSG00000175792	RUVBL1	3:127783621-127872757
ENSG00000175793	SFN	1:27189633-27190947
ENSG00000175800	OR52B3P	11:4399512-4400457
ENSG00000175806	MSRA	8:9911778-10286401
ENSG00000175809	ZNF645	X:22291065-22292574
ENSG00000175820	CCDC168	13:103381801-103389159
ENSG00000175826	CTDNEP1	17:7146910-7155810
ENSG00000175832	ETV4	17:41605212-41656988
ENSG00000175841	FAM172BP	3:101237711-101242731
ENSG00000175854	SWI5	9:131037658-131051269
ENSG00000175857	GAPT	5:57787262-57792917
ENSG00000175866	BAIAP2	17:79008948-79091232
ENSG00000175868	CALCB	11:14926543-15103888
ENSG00000175873	AC004840.9	7:2477398-2487485
ENSG00000175874	CREG2	2:101962013-102004057
ENSG00000175877	WBSCR28	7:73275489-73280223
ENSG00000175886	RPL7AP66	18:36914836-36915639
ENSG00000175894	TSPEAR	21:45917775-46131495
ENSG00000175895	PLEKHF2	8:96146032-96168912
ENSG00000175898	CTD-2369P2.2	19:10332111-10333870
ENSG00000175899	A2M	12:9220260-9268825
ENSG00000175906	ARL4D	17:41476327-41478505
ENSG00000175911	AC127496.1	17:78977135-78978932
ENSG00000175920	DOK7	4:3465033-3503200
ENSG00000175928	LRRN1	3:3841121-3889387
ENSG00000175931	UBE2O	17:74385532-74449288
ENSG00000175938	ORAI3	16:30960387-30967782
ENSG00000175946	KLHL38	8:124657767-124665190
ENSG00000175967	RP11-544L8__B.4	6:114225302-114242806
ENSG00000175970	UNC119B	12:121148238-121161443
ENSG00000175984	DENND2C	1:115125469-115213043
ENSG00000175985	PLEKHD1	14:69951409-69995215
ENSG00000176007	FAM220BP	9:38527094-38527909
ENSG00000176009	ASCL3	11:8959119-8964580
ENSG00000176014	TUBB6	18:12307668-12344319
ENSG00000176018	LYSMD3	5:89811428-89825401
ENSG00000176020	AMIGO3	3:49754267-49761349
ENSG00000176022	B3GALT6	1:1167629-1170421
ENSG00000176024	ZNF613	19:52430400-52452012
ENSG00000176029	C11orf16	11:8941623-8954553
ENSG00000176034	CHDC2	X:36053908-36163187
ENSG00000176040	TMPRSS7	3:111753690-111800116
ENSG00000176043	RP1-146I3.1	14:73396320-73396638
ENSG00000176046	NUPR1	16:28548606-28550495
ENSG00000176049	JAKMIP2	5:146967990-147162338
ENSG00000176054	RPL23P2	21:30369934-30370354
ENSG00000176055	MBLAC2	5:89754020-89770585
ENSG00000176058	TPRN	9:140086069-140098645
ENSG00000176076	KCNE1L	X:108866929-108868393
ENSG00000176083	ZNF683	1:26688125-26701013
ENSG00000176087	SLC35A4	5:139944041-139948688
ENSG00000176092	AIM1L	1:26648350-26680621
ENSG00000176095	IP6K1	3:49761727-49823975
ENSG00000176101	SSNA1	9:140083099-140084822
ENSG00000176102	CSTF3	11:33098734-33183917
ENSG00000176105	YES1	18:721588-812547
ENSG00000176108	CHMP6	17:78965398-78983317
ENSG00000176124	DLEU1	13:50656307-51297372
ENSG00000176125	UFSP1	7:100486346-100487339
ENSG00000176142	TMEM39A	3:119148347-119187677
ENSG00000176148	TCP11L1	11:33060963-33127489
ENSG00000176153	GPX2	14:65405870-65409531
ENSG00000176155	CCDC57	17:80059336-80170706
ENSG00000176160	HSF5	17:56497528-56565745
ENSG00000176170	SPHK1	17:74372665-74383941
ENSG00000176171	BNIP3	10:133781578-133795435
ENSG00000176177	ENTHD1	22:40139049-40289868
ENSG00000176182	MYPOP	19:46393278-46405862
ENSG00000176183	CH17-12M21.1	5:97674448-97675536
ENSG00000176194	CIDEA	18:12254318-12277594
ENSG00000176198	OR11H4	14:20710898-20711979
ENSG00000176204	LRRTM4	2:76974845-77820445
ENSG00000176208	ATAD5	17:29158988-29222887
ENSG00000176209	SMIM19	8:42396298-42409603
ENSG00000176222	ZNF404	19:44376515-44405537
ENSG00000176225	RTTN	18:67671029-67873181
ENSG00000176236	C10orf111	10:15137384-15139318
ENSG00000176243	CDV3P1	3:96495789-96496527
ENSG00000176244	ACBD7	10:15119522-15130775
ENSG00000176248	ANAPC2	9:140069236-140082989
ENSG00000176261	ZBTB8OS	1:33065773-33116504
ENSG00000176268	CYCSP34	13:41437735-41438038
ENSG00000176274	SLC25A53	X:103343898-103401708
ENSG00000176289	IDSP1	X:148606540-148607582
ENSG00000176293	ZNF135	19:58570607-58597677
ENSG00000176294	OR4N2	14:20187174-20296531
ENSG00000176302	FOXR1	11:118842417-118852001
ENSG00000176318	FOXN3P1	X:101801662-101803141
ENSG00000176320	RP11-404O13.5	1:158167712-158173667
ENSG00000176340	COX8A	11:63742079-63744015
ENSG00000176343	RPL37AP8	11:111759923-111760198
ENSG00000176349	AC110781.3	7:1878222-1889567
ENSG00000176354	AC097359.1	3:37283303-37285686
ENSG00000176358	TAC4	17:47915671-47925379
ENSG00000176371	ZSCAN2	15:85144217-85171027
ENSG00000176378	PFN1P10	1:21786249-21786575
ENSG00000176381	PRR18	6:166719168-166721936
ENSG00000176383	B3GNT4	12:122688090-122693499
ENSG00000176386	CDC26	9:116018115-116037869
ENSG00000176387	HSD11B2	16:67464555-67471456
ENSG00000176390	CRLF3	17:29096406-29151794
ENSG00000176393	RNPEP	1:201951500-201975275
ENSG00000176395	CEACAM20	19:45005729-45033811
ENSG00000176396	EID2	19:40028890-40030870
ENSG00000176401	EID2B	19:40021630-40023494
ENSG00000176402	GJC3	7:99520892-99527243
ENSG00000176406	RIMS2	8:104512976-105268322
ENSG00000176407	KCMF1	2:85198216-85286595
ENSG00000176410	DNAJC30	7:73095299-73097783
ENSG00000176422	SPRYD4	12:56862301-56864763
ENSG00000176428	VPS37D	7:73082155-73086442
ENSG00000176435	CLEC14A	14:38723308-38725574
ENSG00000176438	SYNE3	14:95883831-95942173
ENSG00000176444	CLK2	1:155232659-155248282
ENSG00000176454	LPCAT4	15:34651106-34659479
ENSG00000176463	SLCO3A1	15:92396925-92715665
ENSG00000176472	ZNF575	19:44029649-44040282
ENSG00000176473	WDR25	14:100842755-100996640
ENSG00000176476	CCDC101	16:28565236-28603111
ENSG00000176485	PLA2G16	11:63340667-63384355
ENSG00000176490	DIRAS1	19:2714565-2721416
ENSG00000176495	OR5AN1	11:59131885-59132921
ENSG00000176515	AL033381.1	6:1080164-1105181
ENSG00000176531	PHLDB3	19:43979106-44009087
ENSG00000176533	GNG7	19:2511217-2702707
ENSG00000176542	KIAA2018	3:113367232-113415493
ENSG00000176563	CNTD1	17:40950810-40963605
ENSG00000176593	CTD-2368P22.1	19:58513429-58522600
ENSG00000176595	KBTBD11	8:1922044-1955102
ENSG00000176597	B3GNT5	3:182971032-183016292
ENSG00000176601	MAP3K19	2:135722061-135805038
ENSG00000176619	LMNB2	19:2427636-2456994
ENSG00000176623	RMDN1	8:87480486-87526586
ENSG00000176624	MEX3C	18:48700920-48744674
ENSG00000176635	HORMAD2	22:30476163-30573064
ENSG00000176641	RNF152	18:59475296-59561480
ENSG00000176654	NANOGP1	12:8045172-8052736
ENSG00000176658	MYO1D	17:30819540-31204195
ENSG00000176659	C20orf197	20:58630980-58648008
ENSG00000176678	FOXL1	16:86609974-86615303
ENSG00000176679	TGIF2LY	Y:3447082-3448082
ENSG00000176681	LRRC37A	17:44370099-44415160
ENSG00000176692	FOXC2	16:86600857-86602539
ENSG00000176697	BDNF	11:27676440-27743605
ENSG00000176700	SCAND2P	15:85174682-85185695
ENSG00000176714	CCDC121	2:27848506-27851879
ENSG00000176715	ACSF3	16:89154783-89222254
ENSG00000176716	OR10AB1P	11:7749632-7750935
ENSG00000176720	BOK	2:242498136-242513546
ENSG00000176723	ZNF843	16:31445569-31454346
ENSG00000176728	TTTY14	Y:21034387-21239302
ENSG00000176731	C8orf59	8:86126311-86132650
ENSG00000176732	PFN4	2:24338241-24346347
ENSG00000176749	CDK5R1	17:30813637-30818274
ENSG00000176753	C15orf56	15:40542865-40545170
ENSG00000176761	ZNF285B	19:44971858-44977444
ENSG00000176769	TCERG1L	10:132890654-133109984
ENSG00000176771	NCKAP5	2:133429374-134326034
ENSG00000176783	RUFY1	5:178977559-179037027
ENSG00000176809	LRRC37A3	17:62850430-62915598
ENSG00000176812	RP11-629O4.1	X:25212498-25213324
ENSG00000176824	AC009951.1	2:145218679-145221645
ENSG00000176826	FKBP9L	7:55748767-55780945
ENSG00000176834	VSIG10	12:118501398-118573831
ENSG00000176840	MIR7-3HG	19:4769117-4772545
ENSG00000176842	IRX5	16:54964774-54968397
ENSG00000176845	METRNL	17:81037567-81052864
ENSG00000176853	FAM91A1	8:124780696-124827692
ENSG00000176857	GJA1P1	5:108387013-108388158
ENSG00000176871	WSB2	12:118470712-118500235
ENSG00000176879	OR51G1	11:4944531-4945637
ENSG00000176882	RP11-432M24.4	13:50194450-50194784
ENSG00000176884	GRIN1	9:140032842-140063207
ENSG00000176887	SOX11	2:5832799-5841516
ENSG00000176890	TYMS	18:657604-673578
ENSG00000176894	PXMP2	12:133264192-133297276
ENSG00000176896	TCEANC	X:13671225-13700083
ENSG00000176903	PNMA1	14:74178494-74181128
ENSG00000176907	C8orf4	8:40010989-40012821
ENSG00000176909	MAMSTR	19:49215999-49222978
ENSG00000176912	C18orf56	18:641320-658340
ENSG00000176915	ANKLE2	12:133302254-133338474
ENSG00000176919	C8G	9:139839698-139841426
ENSG00000176920	FUT2	19:49199228-49209207
ENSG00000176923	OR7A15P	19:15037870-15038836
ENSG00000176927	EFCAB5	17:28256218-28435470
ENSG00000176933	TOB2P1	6:28185421-28186655
ENSG00000176945	MUC20	3:195447753-195467994
ENSG00000176946	THAP4	2:242523820-242576864
ENSG00000176953	NFATC2IP	16:28962128-28978418
ENSG00000176970	RPL7L1P11	X:147546228-147546948
ENSG00000176973	FAM89B	11:65339820-65341669
ENSG00000176974	SHMT1	17:18231187-18266856
ENSG00000176978	DPP7	9:140004994-140009629
ENSG00000176979	TRIM60	4:165953105-165962896
ENSG00000176986	SEC24C	10:75504120-75531919
ENSG00000176988	FMR1NB	X:147062849-147108187
ENSG00000176994	SMCR8	17:18218624-18226517
ENSG00000176998	HCG4	6:29758816-29760850
ENSG00000177000	MTHFR	1:11845780-11866977
ENSG00000177025	C19orf18	19:58469805-58485902
ENSG00000177030	DEAF1	11:644233-706715
ENSG00000177034	MTX3	5:79275584-79287082
ENSG00000177042	TMEM80	11:695428-705028
ENSG00000177045	SIX5	19:46268043-46272484
ENSG00000177051	FBXO46	19:46213887-46234162
ENSG00000177054	ZDHHC13	11:19138646-19197969
ENSG00000177058	SLC38A9	5:54921673-55069022
ENSG00000177076	ACER2	9:19408925-19452018
ENSG00000177082	WDR73	15:85185999-85197574
ENSG00000177084	POLE	12:133200348-133263951
ENSG00000177096	FAM109B	22:42470255-42475445
ENSG00000177098	SCN4B	11:118004092-118023603
ENSG00000177103	DSCAML1	11:117298489-117688240
ENSG00000177105	RHOG	11:3848208-3862213
ENSG00000177106	EPS8L2	11:694438-727727
ENSG00000177108	ZDHHC22	14:77597613-77609077
ENSG00000177112	MRVI1-AS1	11:10562819-10621479
ENSG00000177119	ANO6	12:45609770-45834187
ENSG00000177125	ZBTB34	9:129622944-129648157
ENSG00000177138	FAM9B	X:8992273-9132680
ENSG00000177144	NUDT4P1	1:145139025-145139569
ENSG00000177150	FAM210A	18:13663346-13726662
ENSG00000177156	TALDO1	11:747329-765024
ENSG00000177169	ULK1	12:132379196-132407712
ENSG00000177173	NAP1L4P1	1:117075558-117076714
ENSG00000177181	RIMKLA	1:42846466-42888249
ENSG00000177182	CLVS1	8:61969717-62414204
ENSG00000177189	RPS6KA3	X:20168029-20285523
ENSG00000177191	B3GNT8	19:41931264-41934635
ENSG00000177192	PUS1	12:132413745-132428406
ENSG00000177197	PCNPP5	13:48902220-48902700
ENSG00000177200	CHD9	16:53088945-53363062
ENSG00000177202	SPACA4	19:49110000-49110970
ENSG00000177225	PDDC1	11:767220-777488
ENSG00000177234	C10orf85	10:122357721-122359629
ENSG00000177236	AP006621.1	11:780117-780755
ENSG00000177238	TRIM72	16:31225342-31236510
ENSG00000177239	MAN1B1	9:139981379-140003635
ENSG00000177261	ENSAP3	2:215562451-215562788
ENSG00000177272	KCNA3	1:111214310-111217655
ENSG00000177283	FZD8	10:35927177-35930362
ENSG00000177291	GJD4	10:35894338-35897863
ENSG00000177294	FBXO39	17:6679542-6700420
ENSG00000177301	KCNA2	1:111136202-111174096
ENSG00000177302	TOP3A	17:18174742-18218321
ENSG00000177303	CASKIN2	17:73496342-73511664
ENSG00000177311	ZBTB38	3:141043055-141168634
ENSG00000177324	BEND2	X:18181051-18239024
ENSG00000177335	C8orf31	8:144120626-144141359
ENSG00000177337	DLGAP1-AS1	18:3593730-3598350
ENSG00000177340	AC024940.1	12:31477250-31478879
ENSG00000177350	RPL13AP3	14:56232895-56234435
ENSG00000177352	CCDC71	3:49199968-49203754
ENSG00000177354	C10orf71	10:50507187-50535537
ENSG00000177359	RP11-551L14.1	12:31264586-31359088
ENSG00000177363	LRRN4CL	11:62453874-62457371
ENSG00000177369	RP1-62O9.3	17:47325601-47336024
ENSG00000177370	TIMM22	17:900357-906911
ENSG00000177374	HIC1	17:1957448-1962981
ENSG00000177380	PPFIA3	19:49622646-49654283
ENSG00000177383	MAGEF1	3:184428156-184429836
ENSG00000177398	UMODL1	21:43483068-43563563
ENSG00000177406	RP11-218M22.1	12:740057-772872
ENSG00000177409	SAMD9L	7:92759368-92777682
ENSG00000177410	ZFAS1	20:47894715-47905797
ENSG00000177418	AC006001.1	7:66021832-66022349
ENSG00000177425	PAWR	12:79968759-80084877
ENSG00000177426	TGIF1	18:3411606-3458409
ENSG00000177427	MIEF2	17:18163848-18169866
ENSG00000177432	NAP1L5	4:89617066-89619386
ENSG00000177447	CBX3P1	11:27827990-27828543
ENSG00000177452	RP4-597J3.1	1:64254392-64254975
ENSG00000177453	NIM1K	5:43192173-43280952
ENSG00000177455	CD19	16:28943260-28950667
ENSG00000177459	C8orf47	8:99076539-99105838
ENSG00000177463	NR2C2	3:14989091-15095107
ENSG00000177464	GPR4	19:46093022-46105466
ENSG00000177465	ACOT4	14:74058410-74063200
ENSG00000177468	OLIG3	6:137813336-137815531
ENSG00000177469	PTRF	17:40554470-40575535
ENSG00000177479	ARIH2	3:48956254-49023815
ENSG00000177483	RBM44	2:238707032-238751451
ENSG00000177485	ZBTB33	X:119384607-119392253
ENSG00000177494	ZBED2	3:111311747-111314290
ENSG00000177508	IRX3	16:54317216-54320675
ENSG00000177542	SLC25A22	11:790475-798316
ENSG00000177548	RABEP2	16:28915742-28947847
ENSG00000177551	NHLH2	1:116378998-116386538
